Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","16","Bangladesh","5301","Disponibilité intérieure","2517","Millet","2013","2013","Milliers de tonnes","13","S","Données standardisées"
"FBS","Bilans Alimentaires","16","Bangladesh","5301","Disponibilité intérieure","2518","Sorgho","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","16","Bangladesh","5301","Disponibilité intérieure","2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","14","Barbade","5301","Disponibilité intérieure","2511","Blé","2013","2013","Milliers de tonnes","23","S","Données standardisées"
"FBS","Bilans Alimentaires","14","Barbade","5301","Disponibilité intérieure","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","5","S","Données standardisées"
"FBS","Bilans Alimentaires","14","Barbade","5301","Disponibilité intérieure","2513","Orge","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","14","Barbade","5301","Disponibilité intérieure","2514","Maïs","2013","2013","Milliers de tonnes","31","S","Données standardisées"
"FBS","Bilans Alimentaires","14","Barbade","5301","Disponibilité intérieure","2515","Seigle","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","14","Barbade","5301","Disponibilité intérieure","2516","Avoine","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","14","Barbade","5301","Disponibilité intérieure","2517","Millet","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","14","Barbade","5301","Disponibilité intérieure","2518","Sorgho","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","14","Barbade","5301","Disponibilité intérieure","2520","Céréales, Autres","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","57","Bélarus","5301","Disponibilité intérieure","2511","Blé","2013","2013","Milliers de tonnes","2324","S","Données standardisées"
"FBS","Bilans Alimentaires","57","Bélarus","5301","Disponibilité intérieure","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","30","S","Données standardisées"
"FBS","Bilans Alimentaires","57","Bélarus","5301","Disponibilité intérieure","2513","Orge","2013","2013","Milliers de tonnes","1699","S","Données standardisées"
"FBS","Bilans Alimentaires","57","Bélarus","5301","Disponibilité intérieure","2514","Maïs","2013","2013","Milliers de tonnes","1214","S","Données standardisées"
"FBS","Bilans Alimentaires","57","Bélarus","5301","Disponibilité intérieure","2515","Seigle","2013","2013","Milliers de tonnes","751","S","Données standardisées"
"FBS","Bilans Alimentaires","57","Bélarus","5301","Disponibilité intérieure","2516","Avoine","2013","2013","Milliers de tonnes","340","S","Données standardisées"
